"pop2024","city","state","usps","densityMi","growth","areaMi"
"227067","Spring Valley","Nevada","NV","6395","0.01555","35.505"
"224800","Fremont","California","CA","2878","-0.00622","78.103"
"224274","San Bernardino","California","CA","3611","0.00244","62.1"
"223968","Tacoma","Washington","WA","4505","0.00476","49.714"
"221235","Santa Clarita","California","CA","3005","-0.01247","73.614"
"220930","Hialeah","Florida","FL","10237","-0.00167","21.581"
"218989","Modesto","California","CA","5051","0.00034","43.358"
"218846","McKinney","Texas","TX","3268","0.025","66.963"
"217561","Fontana","California","CA","5027","0.00973","43.278"
"217342","Baton Rouge","Louisiana","LA","2500","-0.01016","86.943"
"213566","Moreno Valley","California","CA","4162","0.00553","51.31"
"212570","Salt Lake City","Utah","UT","1917","0.0142","110.891"
"210734","Sioux Falls","South Dakota","SD","2549","0.02095","82.671"
"209942","Fayetteville","North Carolina","NC","1416","0.00092","148.266"
"209232","Des Moines","Iowa","IA","2373","-0.00546","88.162"
"208476","Worcester","Massachusetts","MA","5580","0.00412","37.36"
"206544","Yonkers","New York","NY","11471","-0.00536","18.006"
"206078","Rochester","New York","NY","5763","-0.00577","35.761"
"204244","Little Rock","Arkansas","AR","1698","0.00197","120.281"
"204093","Grand Prairie","Texas","TX","2815","0.00969","72.512"
"203650","Tallahassee","Florida","FL","1988","0.00707","102.428"
"203035","Amarillo","Texas","TX","1960","0.0031","103.615"
"201001","Peoria","Arizona","AZ","1138","0.01133","176.697"
"200512","Augusta","Georgia","GA","663","-0.00185","302.282"
"200400","Knoxville","Tennessee","TN","2030","0.01129","98.732"
"200167","Columbus","Georgia","GA","925","-0.00847","216.5"
"199817","Sunrise Manor","Nevada","NV","5927","0.00375","33.713"
"198163","Vancouver","Washington","WA","4065","0.00876","48.748"
"197347","Oxnard","California","CA","7434","-0.00575","26.545"
"196874","Overland Park","Kansas","KS","2617","-0.00109","75.218"
"195908","Grand Rapids","Michigan","MI","4375","-0.00356","44.776"
"195400","Birmingham","Alabama","AL","1329","-0.00633","147.07"
"193702","Montgomery","Alabama","AL","1212","-0.00812","159.857"
"191336","Tempe","Arizona","AZ","4786","0.00791","39.981"
"191209","Brownsville","Texas","TX","1451","0.00553","131.796"
"190807","Providence","Rhode Island","RI","10367","0.00008","18.406"
"190037","Huntington Beach","California","CA","7043","-0.01089","26.982"
"188850","Chattanooga","Tennessee","TN","1327","0.00973","142.352"
"188219","Akron","Ohio","OH","3039","-0.00255","61.933"
"185118","Clarksville","Tennessee","TN","1856","0.02436","99.746"
"184709","Fort Lauderdale","Florida","FL","5341","0.00246","34.582"
"184705","Ontario","California","CA","3695","0.01232","49.984"
"184161","Paradise","Nevada","NV","4343","-0.0149","42.404"
"184088","Glendale","California","CA","6040","-0.01584","30.479"
"182141","Newport News","Virginia","VA","2640","-0.00534","68.996"
"181754","Cary","North Carolina","NC","3023","0.00969","60.128"
"181253","Mobile","Alabama","AL","1299","-0.00735","139.482"
"179069","Elk Grove","California","CA","4203","0.0035","42.601"
"178056","Eugene","Oregon","OR","4006","0.00088","44.449"
"177928","Salem","Oregon","OR","3636","0.0028","48.931"
"176679","Aurora","Illinois","IL","3922","-0.00498","45.051"
"175140","Santa Rosa","California","CA","4117","-0.00401","42.536"
"174996","Shreveport","Louisiana","LA","1618","-0.01665","108.145"
"174312","Rancho Cucamonga","California","CA","3748","-0.00053","46.51"
"171134","Pembroke Pines","Florida","FL","5236","0.00009","32.681"
"170525","Springfield","Missouri","MO","2049","0.00198","83.206"
"170507","Fort Collins","Colorado","CO","2979","0.00077","57.234"
"169321","Murfreesboro","Tennessee","TN","2634","0.02352","64.277"
"168705","Oceanside","California","CA","4088","-0.00773","41.268"
"167024","Garden Grove","California","CA","9303","-0.00719","17.953"
"164096","Denton","Texas","TX","1693","0.03629","96.922"
"163950","Lancaster","California","CA","1739","-0.01375","94.282"
"162911","Surprise","Arizona","AZ","1474","0.02923","110.505"
"162674","Roseville","California","CA","3690","0.02224","44.087"
"161612","Killeen","Texas","TX","2958","0.01233","54.628"
"161161","Corona","California","CA","4040","0.00576","39.892"
"158907","Palmdale","California","CA","1498","-0.01547","106.064"
"158211","Salinas","California","CA","6728","-0.00812","23.515"
"156868","Charleston","South Carolina","SC","1363","0.00965","115.053"
"156337","Macon-Bibb County","Georgia","GA","627","-0.00112","249.383"
"155865","Lakewood","Colorado","CO","3587","-0.00062","43.458"
"155495","Paterson","New Jersey","NJ","18483","-0.00612","8.413"
"154211","Hollywood","Florida","FL","5659","0.00229","27.251"
"153927","Alexandria","Virginia","VA","10306","-0.00839","14.935"
"153344","Hayward","California","CA","3347","-0.01497","45.818"
"153136","Springfield","Massachusetts","MA","4805","-0.00349","31.87"
"151811","Kansas City","Kansas","KS","1217","-0.00734","124.737"
"151505","Bellevue","Washington","WA","4527","-0.00046","33.468"
"150872","Sunnyvale","California","CA","6839","-0.00721","22.06"
"150568","Joliet","Illinois","IL","2277","0.00052","66.123"
"150520","Naperville","Illinois","IL","3844","0.00183","39.157"
"149419","Olathe","Kansas","KS","2393","0.01328","62.453"
"148131","Bridgeport","Connecticut","CT","9221","0.0007","16.064"
"147989","McAllen","Texas","TX","2374","0.00952","62.333"
